Unnamed: 0,name,description,picture_url,host_since,host_response_time,host_is_superhost,host_listings_count,host_identity_verified,room_type,accommodates,bathrooms_text,bedrooms,beds,amenities,price,availability_90,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable
0,Be & Being (Milena) - next to Sabbioni Beach,"Be & Being is a modern apartment located in a very quiet area of Riva del Garda a few steps from the Garda Lake's beach. The apartment consists of a large and bright living room, a spacious and well-equipped kitchen, two bedrooms and one bathroom with bathtub; the living room is surrounded by by an outdoor private panoramic panoramic terrace where you can relax, eat together, or sunbathe. A private car box is also included. The space Be & Being is located in Viale Umberto Cattoni, on the street that running parallel with Viale Rovereto where there are delicious restaurants, excellent ice cream parlors and entertaining clubs. A two minute walking from the apartment there is one of the largest and sunniest beaches of the lake (""Spiaggia Sabbioni"") through which passes the bike path and pedestrian path that runs along the north coast of Lake Garda. A short distance from the apartment there are also the POLI supermarket, the pharmacy, the bank, and the newsagen",https://a0.muscache.com/pictures/miso/Hosting-42433599/original/47df88d7-dd0d-49b5-b93b-2e031e993ec7.jpeg,2020-02-20,within an hour,t,1.0,t,Entire home/apt,4,1 bath,2.0,2.0,"[""Long term stays allowed"", ""Wifi"", ""Body soap"", ""Outdoor dining area"", ""Stainless steel gas stove"", ""Hair dryer"", ""Carbon monoxide alarm"", ""Baking sheet"", ""Babysitter recommendations"", ""Free street parking"", ""Freezer"", ""Toaster"", ""Smoke alarm"", ""Shampoo"", ""Outdoor furniture"", ""Cleaning products"", ""Private patio or balcony"", ""Free washer \u2013 In unit"", ""Pocket wifi"", ""Free driveway parking on premises \u2013 1 space"", ""Mosquito net"", ""Bed linens"", ""Stainless steel oven"", ""Elevator"", ""Hot water kettle"", ""Coffee maker"", ""TV"", ""Cooking basics"", ""Luggage dropoff allowed"", ""Dining table"", ""Bathtub"", ""Room-darkening shades"", ""Bidet"", ""Drying rack for clothing"", ""Pack \u2019n play/Travel crib - available upon request"", ""Refrigerator"", ""Hot water"", ""Portable fans"", ""Wine glasses"", ""Essentials"", ""Dishes and silverware"", ""Clothing storage: wardrobe, closet, and dresser"", ""Kitchen"", ""Building staff"", ""Central heating"", ""Extra pillows and blankets"", ""Dedicated workspace"", ""Microwave"", ""Hangers""]",$86.00,77,31,4.9,4.9,4.9,4.97,5.0,4.97,4.77,f
1,Casa Carina 022251-AT-330714, Guest access A disposizione ce un ampio balcone un grande soggiorno dove poter fare colazione...,https://a0.muscache.com/pictures/36f6b80b-0b1a-4b59-802f-28ffce85abbb.jpg,2019-04-24,within an hour,f,3.0,t,Private room,3,1 shared bath,1.0,2.0,"[""Long term stays allowed"", ""Heating"", ""Wifi"", ""Hair dryer"", ""Free street parking"", ""Iron"", ""Toaster"", ""Clothing storage: closet"", ""Private entrance"", ""Free parking on premises"", ""Fire extinguisher"", ""Lock on bedroom door"", ""Bed linens"", ""Host greets you"", ""Hot water kettle"", ""Coffee maker"", ""Shared patio or balcony"", ""TV"", ""Backyard"", ""Luggage dropoff allowed"", ""Dining table"", ""First aid kit"", ""Room-darkening shades"", ""Bidet"", ""Hot water"", ""Essentials"", ""Dishes and silverware"", ""Extra pillows and blankets"", ""Breakfast"", ""Hangers""]",$55.00,0,81,4.63,4.84,4.91,4.89,4.84,4.52,4.65,t
2,"026 Bilocale con caminetto, Giustino","In the immediate vicinity of Pinzolo, in the raised area of ​​Giustino, a pleasant two-room apartment on the fourth floor with lift. Composed of living room with double sofa bed, fireplace and balcony. Separate kitchen (not habitable). Hallway to the sleeping area, bathroom without window with tub and shower microphone, a double bedroom. Particularly quiet area. It has a private parking space in the garage( small place, fits only small car) and a cellar / ski room. Pets Allowed.. The space undefined In the immediate vicinity of Pinzolo, in the raised area of ​​Giustino, a pleasant two-room apartment on the fourth floor with lift. Composed of living room with double sofa bed, fireplace and balcony. Separate kitchen (not habitable). Hallway to the sleeping area, bathroom without window with tub and shower microphone, a double bedroom. Particularly quiet area. It has a private parking space in the garage( small place, fits only small car) and a cellar / ski room.",https://a0.muscache.com/pictures/prohost-api/Hosting-53536257/original/7772e8f1-f66c-4d49-b5ab-e008b0b3f194.jpeg,2016-10-04,within a few hours,f,54.0,t,Entire home/apt,4,1 bath,1.0,2.0,"[""Washer"", ""Elevator"", ""Long term stays allowed"", ""Free parking on premises"", ""Heating"", ""Coffee maker"", ""Dishes and silverware"", ""TV"", ""Hair dryer"", ""Crib"", ""Kitchen"", ""Cooking basics"", ""Oven"", ""Patio or balcony"", ""Bathtub"", ""Stove"", ""Iron"", ""Freezer"", ""Indoor fireplace"", ""Refrigerator""]",$72.00,79,1,5.0,5.0,5.0,5.0,5.0,3.0,3.0,t
3,Appartamento nel cuore della Val di Fiemme,"Appartamento molto caldo e confortevole a 2 passi dal centro di Ziano di Fiemme;fornito di tutti gli accessori elettrodomestici, vicinissimo alla fermata Skibus gratuito per raggiungere tutti gli impianti della Val di Fiemme: Pampeago- Obereggen Predazzo - -Bellamonte- Lusia e Cermis; a 30 km da Campitello per tutte le stazioni del Sella Ronda.Infine a 10 km il paradiso dello sci da Fondo a Passo Lavaze' SCONTO 30% SCI E SCARPONI A NOLEGGIO; LE INDICAZIONI ALLA CONFERMA DELLA PRENOTAZIONE, The space Quattro sono gli spazi: camera da letto matrimoniale; camera da letto a castello; soggiorno e angolo cottura ; balcone esterno con tavoli e sedie Guest access Tutti perché l’appartamento è tutto per loro Other things to note Subito a ridosso del centro con alle spalle il fiume per splendide passeggiate hanno uno skybus gratuito per trasporto sulle piste da sci e impianti al Top; uno sconto Noleggio sci scarponi e tavo",https://a0.muscache.com/pictures/2cb0b950-62e3-4aa2-aa1c-7f355b280657.jpg,2017-04-01,within an hour,f,2.0,t,Entire home/apt,5,1 bath,2.0,3.0,"[""Washer"", ""Essentials"", ""Long term stays allowed"", ""Private entrance"", ""Free parking on premises"", ""Heating"", ""Wifi"", ""Shampoo"", ""Breakfast"", ""Host greets you"", ""Hair dryer"", ""TV"", ""Kitchen"", ""Luggage dropoff allowed"", ""Iron"", ""Hangers""]",$65.00,63,17,4.41,4.59,4.47,4.76,4.71,4.59,4.59,t
4,Tonale -Vista mozzafiato a 300m da impianti.,"Luminoso e grazioso bilocale d'angolo di 30m2 all'undicesimo ed ultimo piano con vista eccezionale sulle montagne e sulla vallata. Recentemente aggiornato, è composto da ingresso, soggiorno con angolo cottura, camera da letto matrimoniale e bagno con finestra. Cucina con piano ad induzione, frigo e lavello. Soggiorno con divano letto (2 letti singoli), tavolo, 5 sedie e TV. Finestre panoramiche con tende oscuranti. Camera separata dal soggiorno da porta scorrevole. Riscaldamento autonomo. The space L'appartamento è grazioso e dotato di tutti i confort. Oltre a TV e frigo, ha in dotazione un forno elettrico ed una griglia elettrica. Per i bambini c'è anche uno slittino da poter utilizzare sulla vicina pista. Guest access Tutti gli spazi dell'appartamento sono a disposizione degli ospiti Other things to note È possibile sistemare anche gruppi con più di 4 ospiti utilizzando un secondo apt sullo stesso piano o al",https://a0.muscache.com/pictures/17885e5e-17fd-4cb4-a749-2829a6a39ace.jpg,2018-11-27,within an hour,f,1.0,f,Entire home/apt,3,1 bath,1.0,3.0,"[""Long term stays allowed"", ""Heating"", ""Hair dryer"", ""Oven"", ""Free street parking"", ""Free parking on premises"", ""Shampoo"", ""Bed linens"", ""Elevator"", ""TV"", ""Cooking basics"", ""Room-darkening shades"", ""Refrigerator"", ""Hot water"", ""2 fuochi stainless steel induction stove"", ""Essentials"", ""Dishes and silverware"", ""Kitchen"", ""Building staff"", ""Extra pillows and blankets"", ""Hangers""]",$39.00,90,54,4.44,4.43,4.57,4.78,4.78,4.67,4.43,t
5,Garda View Guest House (CIPAT 022191-AT-068748),"Garda View Guest House, la meravigliosa vista lago - A Gavazzo Vecchio, una splendida vista sul Lago di Garda a solo 1 km da Riva nelle vicinanze del Lago di Tenno e delle Cascate del Varone. The space Garda View Guest House si trova a Gavazzo, una frazione del Comune di Tenno a 1 km da Riva del Garda, su una collina a circa 210 mt. di altitudine. La strada che da Riva del Garda (66 mt. altitudine) porta a Gavazzo è in salita. Posto all’ultimo piano di una casa di sole tre unità immersa nel verde degli ulivi e nella tranquillità, si compone di quattro locali: Cucina completa di elettrodomestici;  Bagno finestrato con lavatrice;  Camera matrimoniale;  Salotto (convertibile in seconda camera, il divano letto è di una piazza e mezza, adatto ad un adulto oppure due bambini); Sono inoltre disponibili: * un ampio balcone con splendida vista sul lago di Garda e i dintorni, * una cantina privata molto spazi",https://a0.muscache.com/pictures/13f6de8a-07bc-4f0d-8af2-e2f0604ce0f9.jpg,2017-01-08,within an hour,t,1.0,t,Entire home/apt,3,1 bath,1.0,2.0,"[""Long term stays allowed"", ""Heating"", ""Wifi"", ""Outdoor dining area"", ""Baking sheet"", ""Hair dryer"", ""Lockbox"", ""Oven"", ""Iron"", ""Freezer"", ""Free parking on premises"", ""Fire extinguisher"", ""Outdoor furniture"", ""Cleaning products"", ""Private patio or balcony"", ""Clothing storage: closet and dresser"", ""Air conditioning"", ""Stove"", ""Washer"", ""Bed linens"", ""Hot water kettle"", ""Coffee maker"", ""TV"", ""Cooking basics"", ""Luggage dropoff allowed"", ""Dining table"", ""First aid kit"", ""Refrigerator"", ""Hot water"", ""Essentials"", ""Dishes and silverware"", ""Kitchen"", ""Extra pillows and blankets"", ""Microwave"", ""Hangers""]",$60.00,0,40,4.97,4.95,4.95,4.97,5.0,4.82,4.85,t
6,ATTICO61,"Di proprietà della Fam. Boscolo, situato nel centro di Arco, a 5 km dal Lago di Garda, ATTICO61 offre una vista sul castello di Arco ed un balcone con vista sulle montagne. ATTICO61 dista a 49 km da Andalo, 69 km da Madonna di Campiglio e 85 km dall'aeroporto di Verona, lo scalo più vicino. CODICE CIPAT: 022006-AT-821346 The space È un appartamento provvisto di arredi moderni, connessione WI-FI gratuita in tutte le sue aree e TV a schermo piatto. Dispone di cucina completamente attrezzata con lavastoviglie e forno, area salotto con divano e balcone, 2 camere da letto e 2 bagni con bidet e asciugacapelli.",https://a0.muscache.com/pictures/53d0680a-8205-403f-8d2c-35605cf6a7b7.jpg,2021-01-26,within an hour,t,1.0,t,Entire home/apt,4,2 baths,2.0,2.0,"[""Heating"", ""Wifi"", ""Microwave"", ""Baking sheet"", ""Hair dryer"", ""Lockbox"", ""Crib"", ""Oven"", ""Free street parking"", ""Iron"", ""Freezer"", ""Cable TV"", ""Clothing storage: closet"", ""Children\u2019s books and toys"", ""Private entrance"", ""Fire extinguisher"", ""Cleaning products"", ""Private patio or balcony"", ""Bed linens"", ""Elevator"", ""Single level home"", ""Hot water kettle"", ""Coffee maker"", ""High chair"", ""Cooking basics"", ""Dining table"", ""Dishwasher"", ""Bidet"", ""Drying rack for clothing"", ""Refrigerator"", ""Hot water"", ""Portable fans"", ""Board games"", ""Wine glasses"", ""Essentials"", ""Dishes and silverware"", ""TV with standard cable"", ""Kitchen"", ""Extra pillows and blankets"", ""Dedicated workspace"", ""Children\u2019s dinnerware"", ""Hangers""]",$62.00,41,37,4.86,4.76,4.76,4.97,4.97,4.89,4.78,t
7,Agriturismo Al Gallo Nero Verde,"Free parking is available on the property. Pets are not allowed. Air conditioning is currently not available. Possibility of self check in. It needs to be arranged with the homeowner. With a view of the mountain, the holiday apartment Agriturismo Al Gallo Nero Verde, part of the reconstructed former monastery Gallo Verde in Tenno, is perfect for a relaxing holiday near Lake Garda with lots of opportunities for activities such as cycling, hiking or rock climbing. Other things to note Lake Ledro and Lake Molveno can also be reached by car. The 55 m² holiday apartment consists of a living room, a kitchen, 1 bedroom and 1 bathroom and can therefore accommodate 4 people. Additional amenities include Wi-Fi as well as a TV. Wi-Fi is only available in the common areas. A shared outdoor area, consisting of a garden, garden furniture and a covered terrace, is also available for your use. Walking/driving distance to nearest restaurant",https://a0.muscache.com/pictures/prohost-api/Hosting-595224701903635830/original/4d7007a7-fe22-4b25-9e21-f4f2d81f85ed.jpeg,2018-07-27,within an hour,f,526.0,t,Entire home/apt,4,1 bath,1.0,2.0,"[""Bed linens"", ""Essentials"", ""Long term stays allowed"", ""Free parking on premises"", ""Heating"", ""Wifi"", ""Hot water kettle"", ""Dishes and silverware"", ""Hair dryer"", ""TV"", ""Backyard"", ""Kitchen"", ""Oven"", ""Patio or balcony"", ""Stove"", ""Freezer"", ""Refrigerator""]",$112.00,89,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t
8,Il Balcone sul Brenta,"""Il Balcone sul Brenta"" vi aspetta nel cuore di Lasino, piccolo borgo trentino immerso nel verde della Valle dei Laghi. A pochi km dall'alloggio si trovano sia il meraviglioso lago di Garda, sia i pendii del Monte Bondone (meta ideale per l'escursionismo estivo e per gli sport invernali quali sci alpino e sci di fondo). In una valle tutta da scoprire piena di laghi alpini e percorsi mozzafiato si trova questo appartamento ideale per un periodo di relax e sport. License number CIPAT:022243-AT-010642",https://a0.muscache.com/pictures/miso/Hosting-621685086010674455/original/6d37ac09-68d4-4b72-b952-488294bdc994.jpeg,2014-09-23,within an hour,f,2.0,f,Entire home/apt,2,1 bath,1.0,1.0,"[""Long term stays allowed"", ""Wifi"", ""Body soap"", ""Baking sheet"", ""Hair dryer"", ""Oven"", ""Freezer"", ""Toaster"", ""43\"" HDTV"", ""Clothing storage: closet"", ""Private entrance"", ""Free parking on premises"", ""Shampoo"", ""Cleaning products"", ""Ethernet connection"", ""Private patio or balcony"", ""Stove"", ""Bed linens"", ""Cooking basics"", ""Dining table"", ""Dishwasher"", ""Bidet"", ""Refrigerator"", ""Hot water"", ""Wine glasses"", ""Essentials"", ""Dishes and silverware"", ""Kitchen"", ""Central heating"", ""Extra pillows and blankets"", ""Shower gel"", ""Hangers""]",$64.00,78,5,4.8,4.8,5.0,5.0,5.0,4.8,5.0,t
9,Casa dei Foini - bikers' paradise,"House located in the village of Nago-Torbole, in the center of Nago (2 km. From Torbole), close to the village square, where there are a small supermarket, a bank with ATM, a few bars and restaurants- pizzerias; the house is very close to the bicycle path that leads to Lake Garda. The house, called Casa dei Foini, has been recently renovated with Florentine terracotta floors, and covers a total area of 180 square meters. The house is on 3 floors. The space The house is on 3 floors. The 80 square meters attic on the third floor includes a large kitchen with living room and a room with a double bed and with a characteristic Tyrolean style oven called Stanza dei Girasoli. On the second floor there are two rooms with double bed and two bathrooms: the larger one with a relax bathtub, the other with a big shower. On the first floor there is a wide entrance hall where guests can leave bicycles, surfing and all sports equipment; the flat is protected by an a",https://a0.muscache.com/pictures/b3cd9c6e-1e73-4436-9a9c-b7e182449d67.jpg,2015-07-01,within an hour,f,1.0,t,Entire home/apt,6,2 baths,3.0,3.0,"[""Long term stays allowed"", ""Conditioner"", ""Heating"", ""Body soap"", ""Wifi"", ""Baking sheet"", ""Hair dryer"", ""Carbon monoxide alarm"", ""Lockbox"", ""Oven"", ""Bikes"", ""Free street parking"", ""Clothing storage: dresser and closet"", ""Iron"", ""Freezer"", ""Toaster"", ""Smoke alarm"", ""Fireplace guards"", ""Private entrance"", ""Shampoo"", ""Cleaning products"", ""Ethernet connection"", ""Pocket wifi"", ""Private patio or balcony"", ""Stove"", ""Washer"", ""Bed linens"", ""Hot water kettle"", ""Coffee maker"", ""TV"", ""Ceiling fan"", ""Cooking basics"", ""Luggage dropoff allowed"", ""Dining table"", ""First aid kit"", ""Bathtub"", ""Dishwasher"", ""Bidet"", ""Drying rack for clothing"", ""Refrigerator"", ""Hot water"", ""Wine glasses"", ""Essentials"", ""Dishes and silverware"", ""Kitchen"", ""Extra pillows and blankets"", ""Shower gel"", ""Microwave"", ""Hangers""]",$220.00,37,74,4.9,4.9,4.81,4.97,4.97,4.74,4.82,t
