Unnamed: 0,Date,Name,Reviews
0,2022-09-27,Fabian,"Die Wohnung ist super gemütlich, sauber und schön. Die riesige Terrasse ist ebenfalls top. Mit den Fahrrädern, die wir von Roberto benutzen konnten, war der Weg in die Stadt kein Problem. Alles bestens!"
1,2022-09-25,Kristin,"Alles super! Kommunikation und Check in und out waren sehr unkompliziert. Toll war außerdem, dass wir unseren Hund in den eingezäunten Garten lassen konnten. Tolle Terrasse mit schönem Ausblick und ein kleines Lädchen um die Ecke zum Brötchen o.ä kaufen."
2,2022-09-21,Henryka,Wieder einmal alles perfekt! Danke Roberto
3,2022-09-14,Sandra,"Wir hatten eine schöne Zeit auf der tollen Terrasse und in der schönen Wohnung. Die Lage ist top für Wandern, Rennrad oder Laufen. Sehr empfehlenswert!"
4,2022-08-31,Silke,"What a beautifull place, especially the view! If you travel by car, this is an amazing location to get to surrounding places. We were warmly welcomed and there were bowls ready for our puppy. We would love to come back someday!"
5,2022-08-27,Marco,"Roberto ist ein super Gastgeber und spricht auch sehr gut deutsch. Es war alles völlig unkompliziert und wir konnten auch unsere Fahrräder im Keller einschließen. Auch die Abreise war unproblematisch. Die Wohnung ist super hell, sauber, mit allem ausgestattet was wir brauchten. Das absolute Highlight ist die riesige Terasse mit Markise. Man sieht zwar nicht den See aber die Aussicht ist trotzdem spitze. Wie ein weiteres Zimmer im Freien für Frühstück oder Abendessen. Und wenn es mal zu warm war, hat die Klimaanlage im Handumdrehen die Wohnung herunter gekühlt. Die Wohnung liegt etwas Abseits vom Zentrum Riva. Zu Fuß etwa 20 Minuten, mit dem Rad 5-7 Minuten. Alles kein Problem, da es mehrere gut ausgebaute Rad- und Fußwege bis ins Zentrum gibt. Dafür wird man abseits des Trubels, mit ruhiger Lage, mitten im romantischen italienischen Kleindorf-Flair belohnt. Perfekt für uns. Super. Genau das was wir wollten. Würden diese Wohnung immer wieder buchen."
6,2022-08-20,Marco,"A very beautiful apartment, in a very quite area, not too far from the old town area (15 min walk). The apartment is brand new and very clean. The large terrace is a great addition to enjoy the Garda lake weather. The host was extremely helpful and supportive with information and suggestions about the area, restaurants, etc. Certainly a place to go back to, without hesitation."
7,2022-08-16,Asuka,"We enjoyed staying at Roberto’s place. It was bigger than it looked in the pictures, light and airy and conveniently located for exploring the area. There was a bike path right outside out the door. The huge balcony has wonderful mountain views and it is a great place to have breakfast or drinks. We came when there was a heat wave and AC worked great and we did not have any problem. Roberto also brought us a fan to circulate the air. Roberto and his mother were very welcoming and caring. He was very quick to respond and had a lot of suggestions about the area. He really made our stay comfortable. Definitely recommended if you want peace and quiet."
8,2022-08-03,Tomasz,"The accomodation was perfect, big apartament with huge terrace in quiet place, 20-30 minutes walk from center of Riva. Roberto was very helpful in every situation. Definitely we will come back there in next occasion."
9,2022-07-30,Stefan,"Super tolle Wohnung, in sehr schöner, ruhiger und sauberer Lage. Roberto ist sehr aufmerksam, hat gleich zu Beginn Informationen u. Empfehlungen für interessante Sehenswürdigkeiten, aber auch Restaurants gegeben. Gut über (Hidden by Airbnb) erreichbar bei Fragen. Immer wieder gern."
10,2022-07-12,Anne,"Roberto's apartment is extremely pleasant, spacious, bright and with a very nice terrace... The area is very quiet, a little out of the way but very close to the center and the lake on foot via paths and cycle paths. The rental is perfect for a family with children. Roberto and his mother are very nice, available and discreet...Really a very good stay and a very nice experience..."
11,2022-07-06,Daniela,Wir waren sehr zufrieden mit der Ferienwohnung und haben uns außerordentlich wohl gefühlt.
12,2022-06-19,Marie,"War alles super, die Fahrräder sind auf jeden Fall goldwert. Ausblick von der Terrasse 👍"
13,2022-06-16,Andre,het contact met Roberto ging heel goed. het appartement was zoals de vorige keren mooi schoon en netjes. de enige verbetering zou een magnetron kunnen zijn omdat de beschikbare oven niet ons ding is. verder prima appartement op een prachtige plek met vanaf het balkon (met luifel) een grandioos uitzicht.
14,2022-05-28,Grzegorz,"L'appartamento è pulito, molto comodo e ben arredato con ogni comfort. Anche grande terrazzo è con vista sulla montagna. C'è vicino al centro e al lago che si raggiunge a piedi. La villa è situata in un luogo bello e tranquillo circondato da uliveti. Si sente il piacevole canto degli uccelli attraverso le finestre aperte. Tutto ciò ti fa godere questo posto e ti fa sentire riposato. Abbiamo trascorso una settimana speciale che sicuramente non dimenticheremo."
15,2022-05-21,Antonio,"Complimenti davvero a Roberto per l’ospitalità e l’accoglienza. Un posto meraviglioso e tenuto con cura e davvero all’altezza degli standard proposti! Location con vista sulle montagne a 2 passi dal cuore di Riva del Garda, chicca esclusiva la splendida terrazza. Di certo sarà obbligatorio ritornare nella “casa dei Nonni” di Roberto"
16,2022-05-19,Julien,Everything was perfect. We can recommend this lovely apartment! 👍
17,2022-05-15,Horst,alles super wie erhofft.
18,2022-05-05,Ali,Very clean and comfortable place with great views down the valley. Host was very friendly and polite. Great place to say which is quiet but only a short walk from Riva.
19,2022-05-02,Hanna,we enjoyed our stay at Roberto's and wished we could've stayed longer. the place is spotless clean and the views from each window are magnificent.
20,2022-04-30,Lucy,"Beautiful clean apartment with amazing mountain views. Check in was easy and we had a great stay with no issues. Everything you need is in the apartment. Perfect location for Riva, we will be back! recommend to everyone visiting Riva."
21,2022-04-26,Genevieve,"We had the most amazing stay at Roberto's flat in Riva del Garda! A truly beautiful place with an incredible terrace - the mountain views are incredible! An amazing town with great food and walks, we loved it so much."
22,2022-04-23,Frank,Roberto und seine Familie sind sehr nette und herzliche Gastgeber. Roberto hilft mit vielen guten Tipps und bietet Unterstützung an. Die Wohnung ist sehr sauber und gemütlich eingerichtet. Es lohnt sich diese Unterkunft zu buchen. Wir kommen gern wieder.
