Date,Name,Reviews,Language,ISO,Key phrases,Sum of Score sentiment,Sentiment
9/27/22,Fabian,"Die Wohnung ist super gemütlich, sauber und schön. Die riesige Terrasse ist ebenfalls top. Mit den Fahrrädern, die wir von Roberto benutzen konnten, war der Weg in die Stadt kein Problem. Alles bestens!",German,de,"Weg, Roberto benutzen, super, riesige Terrasse, top, Problem, Stadt, Fahrrädern, Wohnung, schön",79.40%,Neutral
9/25/22,Kristin,"Alles super! Kommunikation und Check in und out waren sehr unkompliziert. Toll war außerdem, dass wir unseren Hund in den eingezäunten Garten lassen konnten. Tolle Terrasse mit schönem Ausblick und ein kleines Lädchen um die Ecke zum Brötchen o.ä kaufen.",German,de,"Ecke, Brötchen, schönem Ausblick, Lädchen, unseren Hund, eingezäunten Garten lassen, Tolle Terrasse, ä kaufen, Kommunikation, Check",74.40%,Neutral
9/21/22,Henryka,Wieder einmal alles perfekt! Danke Roberto,German,de,"Danke Roberto, perfekt",100.00%,Positive
9/14/22,Sandra,"Wir hatten eine schöne Zeit auf der tollen Terrasse und in der schönen Wohnung. Die Lage ist top für Wandern, Rennrad oder Laufen. Sehr empfehlenswert!",German,de,"tollen Terrasse, top, Wandern, Rennrad, schönen Wohnung, Laufen, Lage",88.50%,Positive
8/31/22,Silke,"What a beautifull place, especially the view! If you travel by car, this is an amazing location to get to surrounding places. We were warmly welcomed and there were bowls ready for our puppy. We would love to come back someday!",English,en,"amazing location, beautifull place, view, car, places, puppy",100.00%,Positive
8/27/22,Marco,"Roberto ist ein super Gastgeber und spricht auch sehr gut deutsch. Es war alles völlig unkompliziert und wir konnten auch unsere Fahrräder im Keller einschließen. Auch die Abreise war unproblematisch. Die Wohnung ist super hell, sauber, mit allem ausgestattet was wir brauchten. Das absolute Highlight ist die riesige Terasse mit Markise. Man sieht zwar nicht den See aber die Aussicht ist trotzdem spitze. Wie ein weiteres Zimmer im Freien für Frühstück oder Abendessen. Und wenn es mal zu warm war, hat die Klimaanlage im Handumdrehen die Wohnung herunter gekühlt. Die Wohnung liegt etwas Abseits vom Zentrum Riva. Zu Fuß etwa 20 Minuten, mit dem Rad 5-7 Minuten. Alles kein Problem, da es mehrere gut ausgebaute Rad- und Fußwege bis ins Zentrum gibt. Dafür wird man abseits des Trubels, mit ruhiger Lage, mitten im romantischen italienischen Kleindorf-Flair belohnt. Perfekt für uns. Super. Genau das was wir wollten. Würden diese Wohnung immer wieder buchen.",German,de,"Wohnung, super Gastgeber, super hell, Abseits, Minuten, ausgebaute Rad, Zentrum Riva, mitten, romantischen italienischen Kleindorf, ruhiger Lage, riesige Terasse, Flair, absolute Highlight, Zimmer, Freien, Frühstück, Abendessen, Markise, Trubels, Fußwege, See, Aussicht, spitze, Roberto, Klimaanlage, Handumdrehen, Fahrräder, Keller, Problem, deutsch, Abreise, mal, Perfekt",56.60%,Negative
8/20/22,Marco,"A very beautiful apartment, in a very quite area, not too far from the old town area (15 min walk). The apartment is brand new and very clean. The large terrace is a great addition to enjoy the Garda lake weather. The host was extremely helpful and supportive with information and suggestions about the area, restaurants, etc. Certainly a place to go back to, without hesitation.",English,en,"old town area, beautiful apartment, great addition, suggestions, information, Garda lake weather, large terrace, restaurants, walk, host, place, hesitation",100.00%,Positive
8/16/22,Asuka,"We enjoyed staying at Roberto’s place. It was bigger than it looked in the pictures, light and airy and conveniently located for exploring the area. There was a bike path right outside out the door. The huge balcony has wonderful mountain views and it is a great place to have breakfast or drinks. We came when there was a heat wave and AC worked great and we did not have any problem. Roberto also brought us a fan to circulate the air. Roberto and his mother were very welcoming and caring. He was very quick to respond and had a lot of suggestions about the area. He really made our stay comfortable. Definitely recommended if you want peace and quiet.",English,en,"great place, area, Roberto’s place, wonderful mountain views, huge balcony, pictures, mother, heat wave, breakfast, drinks, lot of suggestions, bike path, door, light, fan, stay comfortable, peace, air, problem",100.00%,Positive
8/3/22,Tomasz,"The accomodation was perfect, big apartament with huge terrace in quiet place, 20-30 minutes walk from center of Riva. Roberto was very helpful in every situation. Definitely we will come back there in next occasion.",English,en,"big apartament, quiet place, huge terrace, minutes walk, center of Riva, accomodation, Roberto, situation, occasion",99.90%,Positive
7/30/22,Stefan,"Super tolle Wohnung, in sehr schöner, ruhiger und sauberer Lage. Roberto ist sehr aufmerksam, hat gleich zu Beginn Informationen u. Empfehlungen für interessante Sehenswürdigkeiten, aber auch Restaurants gegeben. Gut über (Hidden by Airbnb) erreichbar bei Fragen. Immer wieder gern.",German,de,"interessante Sehenswürdigkeiten, Beginn Informationen, Empfehlungen, Super tolle Wohnung, Hidden by Airbnb, Fragen, sauberer Lage, Restaurants, Roberto",75.60%,Neutral
7/12/22,Anne,"Roberto's apartment is extremely pleasant, spacious, bright and with a very nice terrace... The area is very quiet, a little out of the way but very close to the center and the lake on foot via paths and cycle paths. The rental is perfect for a family with children. Roberto and his mother are very nice, available and discreet...Really a very good stay and a very nice experience...",English,en,"nice terrace, nice experience, cycle paths, lake, foot, center, area, good stay, family, way, Roberto's apartment, mother, rental, children",100.00%,Positive
7/6/22,Daniela,Wir waren sehr zufrieden mit der Ferienwohnung und haben uns außerordentlich wohl gefühlt.,German,de,Ferienwohnung,100.00%,Positive
6/19/22,Marie,"War alles super, die Fahrräder sind auf jeden Fall goldwert. Ausblick von der Terrasse 👍",German,de,"Fahrräder, Fall goldwert, Ausblick, Terrasse, super",100.00%,Positive
6/16/22,Andre,het contact met Roberto ging heel goed. het appartement was zoals de vorige keren mooi schoon en netjes. de enige verbetering zou een magnetron kunnen zijn omdat de beschikbare oven niet ons ding is. verder prima appartement op een prachtige plek met vanaf het balkon (met luifel) een grandioos uitzicht.,Dutch,nl,"de beschikbare oven, de enige verbetering, de vorige keren mooi schoon en netjes, verder prima appartement, magnetron, prachtige plek, balkon, luifel, ding, grandioos uitzicht, contact",70.00%,Neutral
5/28/22,Grzegorz,"L'appartamento è pulito, molto comodo e ben arredato con ogni comfort. Anche grande terrazzo è con vista sulla montagna. C'è vicino al centro e al lago che si raggiunge a piedi. La villa è situata in un luogo bello e tranquillo circondato da uliveti. Si sente il piacevole canto degli uccelli attraverso le finestre aperte. Tutto ciò ti fa godere questo posto e ti fa sentire riposato. Abbiamo trascorso una settimana speciale che sicuramente non dimenticheremo.",Italian,it,"fa, luogo bello, piacevole canto degli uccelli, finestre aperte, grande terrazzo, montagna, uliveti, lago, appartamento, villa, posto, settimana speciale, centro, piedi, comfort",63.20%,Neutral
5/21/22,Antonio,"Complimenti davvero a Roberto per l’ospitalità e l’accoglienza. Un posto meraviglioso e tenuto con cura e davvero all’altezza degli standard proposti! Location con vista sulle montagne a 2 passi dal cuore di Riva del Garda, chicca esclusiva la splendida terrazza. Di certo sarà obbligatorio ritornare nella “casa dei Nonni” di Roberto",Italian,it,"Roberto, Garda, chicca esclusiva, cuore di Riva, cura, splendida terrazza, vista sulle montagne, altezza, Location, casa dei Nonni, posto meraviglioso, ospitalità",69.20%,Neutral
5/19/22,Julien,Everything was perfect. We can recommend this lovely apartment! 👍,English,en,lovely apartment,100.00%,Positive
5/15/22,Horst,alles super wie erhofft.,German,de,super,82.10%,Positive
5/5/22,Ali,Very clean and comfortable place with great views down the valley. Host was very friendly and polite. Great place to say which is quiet but only a short walk from Riva.,English,en,"Great place, great views, comfortable place, short walk, valley, Host, Riva",99.90%,Positive
5/2/22,Hanna,we enjoyed our stay at Roberto's and wished we could've stayed longer. the place is spotless clean and the views from each window are magnificent.,English,en,"views, window, place, stay, Roberto's",99.50%,Positive
4/30/22,Lucy,"Beautiful clean apartment with amazing mountain views. Check in was easy and we had a great stay with no issues. Everything you need is in the apartment. Perfect location for Riva, we will be back! recommend to everyone visiting Riva.",English,en,"Riva, Beautiful clean apartment, amazing mountain views, great stay, issues, Perfect location",100.00%,Positive
4/26/22,Genevieve,"We had the most amazing stay at Roberto's flat in Riva del Garda! A truly beautiful place with an incredible terrace - the mountain views are incredible! An amazing town with great food and walks, we loved it so much.",English,en,"incredible terrace, amazing town, amazing stay, Roberto's flat, Riva, great food, walks, mountain views, Garda, beautiful place",100.00%,Positive
4/23/22,Frank,Roberto und seine Familie sind sehr nette und herzliche Gastgeber. Roberto hilft mit vielen guten Tipps und bietet Unterstützung an. Die Wohnung ist sehr sauber und gemütlich eingerichtet. Es lohnt sich diese Unterkunft zu buchen. Wir kommen gern wieder.,German,de,"Roberto, Familie, herzliche Gastgeber, guten Tipps, Unterstützung, Wohnung, Unterkunft",75.60%,Neutral
4/18/22,Beatrice,"Wir waren nun schon das Dritte mal bei Roberto, es ist fast wie nach Hause kommen :) Es war wie immer ein sehr schöner Aufenthalt. Roberto hat uns viele Tipps gegeben und uns mehr über die Gegend erzählt. Die Wohnung ist sehr sauber und man fühlt sich einfach wohl. Die nächste Reise ist schon gebucht! ;)",German,de,"Roberto, fast, mal, schöner Aufenthalt, nächste Reise, Hause, Tipps, Gegend, Wohnung",67.90%,Neutral
4/14/22,Niklas,"Beautiful, light, clean and cozy apartment with a peaceful and green location. Unique atmosphere! Good possibilities for cycling. We were here with a 10-month old baby and he loved the garden as well as we did!",English,en,"cozy apartment, light, green location, month old baby, Good possibilities, cycling, garden, Unique atmosphere",100.00%,Positive
4/10/22,Armin,"Alles Top, tolle Unterkunft!",German,de,"Top, tolle Unterkunft",71.70%,Neutral
4/7/22,Stefan,"Sehr schöne Wohnung mit super großem Balkon mit tollem Ausblick. Küche ist gut ausgestattet (einzig auf eine Spülmaschine muss man verzichten), sehr schönes Bad, Parkplatz sehr nahe und über die Via Longa auch nur 18 Minuten zu Fuß zum See. Empfehlungswert besonders auch für Familien mit kleineren Kindern, ein super Spielplatz mit Kleinkindbereich ist direkt um die Ecke. Internet war schnell und stabil. Definitiv empfehlenswert und ein guter Ausgangspunkt für alle möglichen Aktivitäten am nördlichen Gardaseeufer!",German,de,"super Spielplatz, super großem Balkon, kleineren Kindern, schöne Wohnung, möglichen Aktivitäten, Kleinkindbereich, Familien, nördlichen Gardaseeufer, Ausgangspunkt, Minuten, schönes Bad, Parkplatz, Empfehlungswert, Internet, schnell, Longa, Ecke",63.00%,Neutral
10/26/21,Maxim,Einfach Wunderschön. Die Lage ist Top. Apartment Wunderschön. Nur zum Empfehlen.,German,de,"Lage, Top, Apartment, Empfehlen",100.00%,Positive
10/23/21,Dirk,Wir haben uns sehr wohl gefühlt. Es hatte schon fast eine etwas familiäre Atmosphäre ohne zu große Nähe. Wir kommen gerne wieder.,German,de,"familiäre Atmosphäre, Nähe",95.50%,Positive
10/16/21,Matthias,"Unbedingt zu empfehlen. Sehr schönes, großzügiges Appartment mit einer großen Terasse und guter Ausstattung. Roberto ist der Gastgeber, den sich jeder Airbnb-reisende wünscht, interessiert, freundlich, kommunikativ, mit sehr guten Tipps für den Aufenthalt. Wer sich hier nicht wohlfühlt, sollte lieber zuhause bleiben!",German,de,"Terasse, großzügiges Appartment, Gastgeber, Airbnb, guten Tipps, Aufenthalt, zuhause bleiben, Roberto, reisende, Ausstattung",73.30%,Neutral
